Tunnus;Nimi;Jakeluosoite;Postinumero;Postitoimipaikka;Huoneala (hum²);Bruttoala (brm²);Tilavuus (rm³);Kerrosala (m²);Rakennusvuosi;Peruskorjausvuosi;Kerrosten lkm;Kellarikerrosten lkm;Ullakkokerrosten lkm
620903;Pöllönkankaan koulu, varasto;Kuovitie 13;90540;OULU;23;24;69;0;2012;0;0;0;0
621002;Timosenkosken luontokoulu;Timosenkoskentie 44;90630;OULU;221;284;983;254;1955;0;2;1;0
621005;Timosenkosken luontokoulu, vaja;Timosenkoskentie 44;90630;OULU;0;45;180;45;1955;0;1;0;0
621101;Korvensuoran koulu;Leväsuontie 17;90600;OULU;2 743;2 901;10 626;2 211;1956;1994;2;1;0
621201;Koskelan koulu;Tullimiehentie 8;90560;OULU;4 032;4 203;15 548;4 203;1971;2007;2;0;0
621301;Kuivasjärven koulu;Karppalantie 1;90540;OULU;2 849;3 156;11 008;2 936;1969;2007;2;1;0
621401;Madekosken koulu;Konttisentie 100;90310;OULU;2 194;2 405;9 950;2 405;1952;2012;2;1;1
621402;Madekosken vanha koulu ja asunto ;Konttisentie 100;90310;OULU;180;223;1 002;223;1911;1982;1;0;0
621503;Terva-Toppilan koulu, Merituuli, C-rakennus;Koskelantie 53;90520;OULU;1 046;1 180;5 347;1 078;1996;2006;2;0;0
621575;Terva-Toppilan koulu, Merituuli, A-rakennus;Koskelantie 53;90520;OULU;518;587;2 642;587;1920;2007;1;0;0
621576;Terva-Toppilan koulu, Merituuli, B-rakennus;Koskelantie 53;90520;OULU;545;614;2 079;631;1949;2002;2;1;0
621601;Lintulammen koulu;Haapanatie 33;90150;OULU;3 421;3 993;13 919;3 406;1958;1994;3;1;0
621701;Kaakkurin koulu ja Kaakonpojan päiväkoti, päärakennus;Pesätie 15;90420;OULU;13 042;14 851;79 781;13 929;2003;0;0;0;0
621702;Kaakkurin koulu ja Kaakonpojan päiväkoti, väestönsuoja;Pesätie 15;90420;OULU;0;597;2 555;597;2004;0;0;0;0
621703;Kaakkurin koulu ja päiväkoti, ulkovarasto;Pesätie 15;90420;OULU;0;23;59;23;2004;0;0;0;0
621901;Nuottasaaren koulu;Isokatu 94;90120;OULU;5 766;6 572;21 768;3 708;1965;2009;2;1;0
622001;Oulujoen koulu;Sangintie 129;90650;OULU;2 245;2 683;9 888;1 756;1947;1989;3;1;0
622101;Heikkilänkankaan monitoimitalo;Kyytipojantie 2;90310;OULU;1 669;1 778;7 733;1 754;2003;0;0;0;0
622102;Heikkilänkankaan monitoimitalo, talousrakennus 1;Kyytipojantie 2;90310;OULU;0;30;84;30;2003;0;0;0;0
622103;Heikkilänkankaan monitoimitalo, talousrakennus 2;Kyytipojantie 2;90310;OULU;0;16;59;16;2003;0;0;0;0
622104;Heikkilänkankaan monitoimitalo, talousrakennus 3;Kyytipojantie 2;90310;OULU;0;18;67;18;2003;0;0;0;0
622201;Patamäen koulu;Peltorinne 6;90240;OULU;1 854;2 032;7 226;2 032;1949;2005;2;1;0
622301;Paulaharjun koulu;Mielikintie 9;90550;OULU;5 312;5 162;18 384;4 125;1961;2008;2;1;0
622401;Pikkaralan koulu;Vasantie 121;90310;OULU;1 134;1 282;5 159;1 058;1952;1993;2;1;0
